County,Category,Pop2022,AreaSqMi,Reg_NV_Pct,Reg_DEM_Pct,Reg_REP_Pct,Reg_IAP_Pct,Reg_LPN_Pct,Reg_Other_Pct,Reg_NonP_Pct,Gov_DEM_Pct,Gov_REP_Pct,Gov_IAP_Pct,Gov_LPN_Pct,Gov_None_Pct,Sen_DEM_Pct,Sen_REP_Pct,Sen_IAP_Pct,Sen_LPN_Pct,Sen_NPP_Pct,Sen_None_Pct,Turnout_Pct
Carson City,Rural,58314,156.02,2.006456081,26.36542756,38.64967818,4.857480625,1.2110863,1.500065677,27.41626166,41.50433129,53.75448975,1.233889711,0.000169871,1.808578069,43.62707859,52.54916857,0.797670296,0.738583608,0.987591795,1.299907149,63.02
Churchill,Rural,26564,5023.72,0.837108342,13.50670613,52.99414395,4.540016372,1.064164725,1.221585542,26.67338329,22.53421186,71.16066903,1.794221997,0.00020071,2.503801318,24.5242915,71.17408907,0.637651822,1.002024291,1.113360324,1.548582996,62.48
Clark,Clark,2338127,8053,71.20560258,35.26509039,25.8932828,4.190515671,0.778689131,2.599307108,31.2731149,51.0611372,45.38219018,0.847792696,0.000136061,1.348266714,52.40188443,44.60749372,0.46113365,0.592697544,0.73174166,1.205049003,51.27
Douglas,Rural,52674,737.63,2.143347358,19.66209237,51.68953814,4.370173626,1.096847179,1.205056318,21.97629236,30.91857035,65.41126432,0.854085203,0.000131028,1.505796803,32.45226096,64.76053344,0.473105009,0.59309541,0.733655593,0.987349583,71.82
Elko,Rural,56396,17203.13,1.50127087,12.42933886,51.80295636,4.680313191,1.158667182,1.218356097,28.71036832,18.062164,75.22091083,2.317246493,0.000228017,2.119508126,20.29522574,75.22697795,0.944969427,0.920264344,1.259959237,1.352603298,57.52
Esmeralda,Rural,1068,3589.04,0.032839147,9.951845907,57.62439807,5.457463884,1.926163724,1.444622793,23.59550562,14.12803532,74.61368653,3.973509934,0.000242826,4.856512141,14.97797357,75.77092511,1.101321586,0.440528634,2.863436123,4.845814978,73.03
Eureka,Rural,1847,4179.98,0.062199348,5.847457627,65.33898305,6.101694915,0.508474576,0.762711864,21.44067797,7.800511509,87.08439898,2.301790281,0.000102302,1.79028133,9.346991037,85.91549296,1.280409731,0.256081946,1.024327785,2.176696543,66.64
Humboldt,Rural,17921,9657.92,0.525426355,13.53330658,54.54454254,4.534510433,0.892857143,1.223916533,25.27086677,19.65951874,73.46537895,1.800622033,0.000247176,2.602717302,22.21858639,72.90575916,0.752617801,0.736256545,1.227094241,2.159685864,61.48
Lander,Rural,6158,5519.53,0.188811919,11.44611949,60.58068118,4.243439419,0.949190396,0.781686209,21.99888331,14.3115942,75.99637681,2.762681159,0.00035779,3.351449275,17.4954792,75.63291139,1.311030741,1.039783002,1.898734177,2.622061483,62.39
Lincoln,Rural,4971,10637.42,0.152388402,11.34555517,65.61743341,4.773434798,0.484261501,1.037703217,16.7416119,12.22222222,79.16666667,2.824074074,0.00025463,3.240740741,14.88178025,80.06490496,0.649049606,0.973574409,0.556328234,2.874362541,75.24
Lyon,Rural,60454,2024.33,2.284033849,16.02317048,45.52860539,5.374904803,1.24622095,1.569315271,30.25778311,25.25316724,69.22588026,1.495699335,0.000199992,2.025337909,26.4397019,68.99136179,0.846883469,1.028963415,1.37195122,1.321138211,54.46
Mineral,Rural,4870,3812.94,0.164775561,22.80870122,38.35572617,5.182341651,0.863723608,0.831733845,31.95777351,32.3824617,60.11621764,2.165874274,0.000169044,3.645007924,34.8468849,59.34530095,0.844772967,0.897571278,0.950369588,3.115100317,60.81
Nye,Rural,51334,18196.12,1.806100386,17.344735,45.21655382,5.451786131,0.939761849,1.529301891,29.51786131,27.92697574,66.41364401,1.931299544,0.000176796,1.96012491,28.60778946,66.43134995,1.022907362,0.787590645,1.330259809,1.820102771,61.1
Pershing,Rural,7344,6067.44,0.168834332,16.67187012,51.4829847,4.183577896,0.842959725,0.53075242,26.28785514,21.64599775,72.49154453,1.860202931,0.000146561,2.536640361,23.57906584,71.58131683,0.619020822,0.675295442,1.238041643,2.307259426,55.57
Storey,Rural,4427,263.82,0.188495651,18.09284116,49.63646532,4.921700224,1.593959732,1.118568233,24.63646532,26.46370023,68.22794692,1.600312256,0.000191257,1.795472287,28.15306521,67.47364311,0.54666146,0.937133932,1.093322921,1.79617337,72.17
Washoe,Washoe,501635,6542.6,16.45188564,31.694931,33.05469493,4.525924905,1.173613403,2.121347076,27.42948868,48.77603818,47.34129724,0.94000268,0.000153678,1.405881201,50.76024295,46.32592135,0.479719992,0.61972411,0.751492691,1.062898909,64.02
White Pine,Rural,10001,8896.73,0.280424178,15.43233083,52.5,5.545112782,0.657894737,0.827067669,25.03759398,17.73913043,73.68115942,2.753623188,0.000226087,3.565217391,20.39988409,74.73196175,0.898290351,0.811359026,1.303969864,1.854534917,65.2
